  2026-02-12 11:41:23,269 - __main__ - INFO - Initializing experiment with configuration:
  task_name: train
  model_type: standard
  experiment_name: None
  dataset_name: fashionmnist
  data_path: ./data
  n_train: 1000
  n_test: 200
  n_val: 200
  digits:
  - 0
  - 2
  - 4
  - 6
  target_dim: 16
  preprocessors:
  - autoencoder_16
  n_pop: 20
  n_gen: 10
  n_gates: 200
  mutation_rate: 0.1
  engine_type: hybrid
  train_epochs: 100
  train_lr: 0.05
  gradient_method: spsa
  device: null
  use_v2_primitives: true
  use_scheduler: true
  scheduler_patience: 3
  scheduler_factor: 0.5
  strategy_type: hybrid
  eval_epochs: 5
  eval_lr: 0.01
  eval_max_iter: 50
  feature_map_type: angle
  num_qubits: 16
  verbose: true
  seed: 42
  save_dir: ./output
  output_dir: ./output
  resume_dir: null
  notifications:
    enabled: true
    title: binary class experiment [0, 2, 4, 6]
  binary_groups:
  - - 2
  - - 0
    - 4
    - 6

  2026-02-12 11:41:23,269 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
  2026-02-12 11:41:23,277 - data.dataset.fashion_mnist_dataset - INFO - Using binary groups: [[2], [0, 4, 6]]
  2026-02-12 11:41:23,278 - data.dataset.fashion_mnist_dataset - INFO - Subsampled group 1 from 18000 to 6000 to match group 0
  2026-02-12 11:41:23,281 - data.dataset.fashion_mnist_dataset - INFO - Loaded 12000 samples with binary groups.
  2026-02-12 11:41:23,301 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /Users/xunflowerrr/Main/Work/GithubRepository/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
  2026-02-12 11:41:23,451 - __main__ - INFO - Starting Task: Standard Training
  2026-02-12 11:41:23,451 - __main__ - INFO - Using Hybrid Engine for Training
  2026-02-12 11:41:23,452 - training.engines.hybrid - INFO - HybridEngine using device: mps
  2026-02-12 11:41:23,452 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
  2026-02-12 11:41:23,452 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
  2026-02-12 11:41:23,454 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
  2026-02-12 11:41:23,454 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
  2026-02-12 11:41:23,459 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
  2026-02-12 11:41:23,460 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
  2026-02-12 11:41:23,461 - training.engines.hybrid - INFO - HybridEngine: No checkpoint found at ./output/None_angle_autoencoder16_20260212_114123/checkpoints/None_angle_autoencoder16_20260212_114123_checkpoint.pth.tar. Starting fresh.
  2026-02-12 11:41:42,685 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.2372 | Acc: 0.3220 | Grad: 1.23e+00 | Val Loss: 1.2175 | Val Acc: 0.3050 | LR: 5.00e-02
  2026-02-12 11:42:01,606 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.2029 | Acc: 0.3410 | Grad: 1.25e+00 | Val Loss: 1.1624 | Val Acc: 0.3700 | LR: 5.00e-02
  2026-02-12 11:42:20,848 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.1414 | Acc: 0.3790 | Grad: 1.12e+00 | Val Loss: 1.1123 | Val Acc: 0.4450 | LR: 5.00e-02
  2026-02-12 11:42:39,975 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0950 | Acc: 0.4750 | Grad: 9.27e-01 | Val Loss: 1.0868 | Val Acc: 0.4900 | LR: 5.00e-02
  2026-02-12 11:42:59,056 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 1.0628 | Acc: 0.5050 | Grad: 8.35e-01 | Val Loss: 1.0701 | Val Acc: 0.4950 | LR: 5.00e-02
  2026-02-12 11:43:18,311 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 1.0476 | Acc: 0.5110 | Grad: 8.94e-01 | Val Loss: 1.0580 | Val Acc: 0.5050 | LR: 5.00e-02
  2026-02-12 11:43:37,777 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 1.0370 | Acc: 0.5100 | Grad: 8.08e-01 | Val Loss: 1.0414 | Val Acc: 0.5050 | LR: 5.00e-02
  2026-02-12 11:43:57,590 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 1.0234 | Acc: 0.5170 | Grad: 7.58e-01 | Val Loss: 1.0311 | Val Acc: 0.5200 | LR: 5.00e-02
  2026-02-12 11:44:17,056 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 1.0127 | Acc: 0.5200 | Grad: 9.16e-01 | Val Loss: 1.0179 | Val Acc: 0.5150 | LR: 5.00e-02
  2026-02-12 11:44:36,872 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 1.0029 | Acc: 0.5290 | Grad: 7.60e-01 | Val Loss: 1.0056 | Val Acc: 0.5200 | LR: 5.00e-02
  2026-02-12 11:44:56,895 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9907 | Acc: 0.5330 | Grad: 7.65e-01 | Val Loss: 0.9914 | Val Acc: 0.5250 | LR: 5.00e-02
  2026-02-12 11:45:17,111 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.9811 | Acc: 0.5430 | Grad: 7.29e-01 | Val Loss: 0.9833 | Val Acc: 0.5350 | LR: 5.00e-02
  2026-02-12 11:45:41,685 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.9703 | Acc: 0.5500 | Grad: 7.04e-01 | Val Loss: 0.9705 | Val Acc: 0.5350 | LR: 5.00e-02
  2026-02-12 11:46:11,514 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.9631 | Acc: 0.5530 | Grad: 6.96e-01 | Val Loss: 0.9612 | Val Acc: 0.5400 | LR: 5.00e-02
