2026-02-03 20:17:20,673 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 0
- 2
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: false
  title: QCNN Training

2026-02-03 20:17:20,673 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-03 20:17:20,717 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /Users/xunflowerrr/Main/Work/GithubRepository/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-03 20:17:20,975 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 20:17:20,975 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 20:17:20,975 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 20:17:20,975 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 20:17:20,978 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 20:17:20,978 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 20:17:20,985 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 20:17:20,985 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 20:17:25,150 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.0346 | Acc: 0.4700 | Grad: 2.20e+00 | Val Loss: 0.9918 | Val Acc: 0.5000 | LR: 5.00e-02
2026-02-03 20:17:29,068 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.0050 | Acc: 0.5000 | Grad: 1.62e+00 | Val Loss: 0.9654 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-03 20:17:32,930 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.9777 | Acc: 0.5500 | Grad: 1.46e+00 | Val Loss: 0.9493 | Val Acc: 0.6400 | LR: 5.00e-02
2026-02-03 20:17:36,925 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.9643 | Acc: 0.5750 | Grad: 1.25e+00 | Val Loss: 0.9347 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-03 20:17:40,850 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9486 | Acc: 0.6300 | Grad: 1.17e+00 | Val Loss: 0.9323 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-03 20:17:45,132 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.9438 | Acc: 0.6550 | Grad: 9.68e-01 | Val Loss: 0.9290 | Val Acc: 0.7000 | LR: 5.00e-02
2026-02-03 20:17:49,078 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.9399 | Acc: 0.7200 | Grad: 8.97e-01 | Val Loss: 0.9189 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 20:17:52,972 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.9365 | Acc: 0.7550 | Grad: 9.31e-01 | Val Loss: 0.9282 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 20:17:57,044 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.9386 | Acc: 0.7350 | Grad: 8.12e-01 | Val Loss: 0.9182 | Val Acc: 0.8200 | LR: 5.00e-02
2026-02-03 20:18:01,207 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9316 | Acc: 0.7700 | Grad: 8.93e-01 | Val Loss: 0.9137 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:18:05,211 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9245 | Acc: 0.7900 | Grad: 9.05e-01 | Val Loss: 0.9153 | Val Acc: 0.7800 | LR: 5.00e-02
