2026-02-03 23:10:16,902 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: mnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 3
- 8
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: false
  title: QCNN Training

2026-02-03 23:10:16,902 - data.dataset.mnist_dataset - INFO - Loading MNIST data from ./data
2026-02-03 23:10:16,981 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /Users/xunflowerrr/Main/Work/GithubRepository/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_mnist_16.pth
2026-02-03 23:10:17,425 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 23:10:17,426 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 23:10:17,427 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 23:10:17,427 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 23:10:17,434 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 23:10:17,436 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 23:10:17,448 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 23:10:17,449 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 23:10:38,343 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.0099 | Acc: 0.4650 | Grad: 1.42e+00 | Val Loss: 0.9999 | Val Acc: 0.5000 | LR: 5.00e-02
2026-02-03 23:10:56,650 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 0.9732 | Acc: 0.5150 | Grad: 1.32e+00 | Val Loss: 0.9769 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 23:11:14,421 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.9549 | Acc: 0.5950 | Grad: 1.21e+00 | Val Loss: 0.9706 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 23:11:32,227 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.9335 | Acc: 0.6350 | Grad: 1.12e+00 | Val Loss: 0.9515 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-03 23:11:49,267 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9165 | Acc: 0.6650 | Grad: 1.41e+00 | Val Loss: 0.9444 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-03 23:12:07,061 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.9076 | Acc: 0.6600 | Grad: 1.48e+00 | Val Loss: 0.9344 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-03 23:12:25,403 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.8987 | Acc: 0.6650 | Grad: 1.37e+00 | Val Loss: 0.9311 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-03 23:12:41,950 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.8859 | Acc: 0.6800 | Grad: 1.53e+00 | Val Loss: 0.9241 | Val Acc: 0.6000 | LR: 5.00e-02
2026-02-03 23:13:00,452 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.8823 | Acc: 0.6850 | Grad: 1.72e+00 | Val Loss: 0.9223 | Val Acc: 0.5800 | LR: 5.00e-02
2026-02-03 23:13:18,057 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.8816 | Acc: 0.6950 | Grad: 1.76e+00 | Val Loss: 0.9155 | Val Acc: 0.6400 | LR: 5.00e-02
2026-02-03 23:13:34,854 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.8722 | Acc: 0.7100 | Grad: 1.55e+00 | Val Loss: 0.9082 | Val Acc: 0.6200 | LR: 5.00e-02
