2026-02-03 22:54:28,232 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: mnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 6
- 9
target_dim: 16
preprocessors:
- pca_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: false
  title: QCNN Training

2026-02-03 22:54:28,232 - data.dataset.mnist_dataset - INFO - Loading MNIST data from ./data
2026-02-03 22:54:28,289 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 22:54:28,304 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 22:54:28,304 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 22:54:28,305 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 22:54:28,307 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 22:54:28,308 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 22:54:28,348 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 22:54:28,349 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 22:54:40,229 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 2.2581 | Acc: 0.0050 | Grad: 3.03e+00 | Val Loss: 1.8949 | Val Acc: 0.0000 | LR: 5.00e-02
2026-02-03 22:54:52,716 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.9285 | Acc: 0.0050 | Grad: 2.76e+00 | Val Loss: 1.6223 | Val Acc: 0.0200 | LR: 5.00e-02
2026-02-03 22:55:05,133 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.6510 | Acc: 0.0100 | Grad: 2.58e+00 | Val Loss: 1.4306 | Val Acc: 0.1600 | LR: 5.00e-02
2026-02-03 22:55:18,722 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.4531 | Acc: 0.1600 | Grad: 1.49e+00 | Val Loss: 1.2802 | Val Acc: 0.3800 | LR: 5.00e-02
2026-02-03 22:55:31,678 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 1.3039 | Acc: 0.3650 | Grad: 1.52e+00 | Val Loss: 1.1839 | Val Acc: 0.4400 | LR: 5.00e-02
2026-02-03 22:55:44,466 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 1.2074 | Acc: 0.4000 | Grad: 1.66e+00 | Val Loss: 1.0970 | Val Acc: 0.5000 | LR: 5.00e-02
2026-02-03 22:55:57,769 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 1.1385 | Acc: 0.4200 | Grad: 1.29e+00 | Val Loss: 1.0464 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 22:56:12,136 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 1.0826 | Acc: 0.4450 | Grad: 1.30e+00 | Val Loss: 0.9960 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 22:56:27,765 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 1.0377 | Acc: 0.4600 | Grad: 1.41e+00 | Val Loss: 0.9564 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 22:56:45,354 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9930 | Acc: 0.4850 | Grad: 1.36e+00 | Val Loss: 0.9192 | Val Acc: 0.6200 | LR: 5.00e-02
2026-02-03 22:57:03,889 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9582 | Acc: 0.5200 | Grad: 1.24e+00 | Val Loss: 0.8925 | Val Acc: 0.6400 | LR: 5.00e-02
