2026-02-12 01:02:46,797 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 0
- 2
- 4
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
resume_dir: null
notifications:
  enabled: true
  title: binary class experiment [0, 2, 4, 6]
binary_groups:
- - 2
- - 0
  - 4
  - 6

2026-02-12 01:02:46,877 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-12 01:02:47,093 - data.dataset.fashion_mnist_dataset - INFO - Using binary groups: [[2], [0, 4, 6]]
2026-02-12 01:02:47,113 - data.dataset.fashion_mnist_dataset - INFO - Subsampled group 1 from 18000 to 6000 to match group 0
2026-02-12 01:02:47,309 - data.dataset.fashion_mnist_dataset - INFO - Loaded 12000 samples with binary groups.
2026-02-12 01:02:47,398 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: D:\Pin\STUDY\PROJECT\senior project\QCNN_project\src\data\preprocessor\autoencoders\conv_ae_fashionmnist_16.pth
2026-02-12 01:02:50,862 - __main__ - INFO - Starting Task: Standard Training
2026-02-12 01:02:50,864 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-12 01:02:50,894 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-12 01:02:50,895 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-12 01:02:50,931 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-12 01:02:50,937 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-12 01:02:50,970 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-12 01:02:51,026 - training.engines.hybrid - INFO - HybridEngine: No checkpoint found at ./output\train_angle_autoencoder16_20260212_010246\checkpoints\train_angle_autoencoder16_20260212_010246_checkpoint.pth.tar. Starting fresh.
2026-02-12 01:06:44,394 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 0.9979 | Acc: 0.5520 | Grad: 1.31e+00 | Val Loss: 0.9997 | Val Acc: 0.5200 | LR: 5.00e-02
2026-02-12 01:10:37,743 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 0.9859 | Acc: 0.5600 | Grad: 1.12e+00 | Val Loss: 0.9790 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-12 01:14:32,742 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.9715 | Acc: 0.5700 | Grad: 1.15e+00 | Val Loss: 0.9740 | Val Acc: 0.5550 | LR: 5.00e-02
2026-02-12 01:18:24,154 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.9584 | Acc: 0.5650 | Grad: 8.38e-01 | Val Loss: 0.9681 | Val Acc: 0.5500 | LR: 5.00e-02
2026-02-12 01:22:19,370 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9563 | Acc: 0.5720 | Grad: 8.43e-01 | Val Loss: 0.9670 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-12 01:26:12,873 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.9533 | Acc: 0.5670 | Grad: 8.47e-01 | Val Loss: 0.9596 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-12 01:30:02,934 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.9479 | Acc: 0.5690 | Grad: 7.89e-01 | Val Loss: 0.9573 | Val Acc: 0.5600 | LR: 5.00e-02
2026-02-12 01:34:01,772 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.9431 | Acc: 0.5740 | Grad: 8.87e-01 | Val Loss: 0.9539 | Val Acc: 0.5600 | LR: 5.00e-02
2026-02-12 01:38:33,332 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.9417 | Acc: 0.5730 | Grad: 7.85e-01 | Val Loss: 0.9481 | Val Acc: 0.5600 | LR: 5.00e-02
2026-02-12 01:42:29,349 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.9369 | Acc: 0.5770 | Grad: 7.17e-01 | Val Loss: 0.9396 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-12 01:46:28,222 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.9291 | Acc: 0.5850 | Grad: 8.01e-01 | Val Loss: 0.9303 | Val Acc: 0.5850 | LR: 5.00e-02
2026-02-12 01:50:20,356 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.9210 | Acc: 0.5940 | Grad: 8.32e-01 | Val Loss: 0.9273 | Val Acc: 0.6150 | LR: 5.00e-02
2026-02-12 01:54:15,488 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.9167 | Acc: 0.5980 | Grad: 7.40e-01 | Val Loss: 0.9180 | Val Acc: 0.6100 | LR: 5.00e-02
2026-02-12 01:58:14,084 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.9121 | Acc: 0.6060 | Grad: 8.22e-01 | Val Loss: 0.9111 | Val Acc: 0.6350 | LR: 5.00e-02
