2026-02-07 10:38:44,471 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 0
- 2
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
notifications:
  enabled: true
  title: binary class experiment [0, 2]

2026-02-07 10:38:44,479 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-07 10:38:44,891 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /teamspace/studios/this_studio/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-07 10:38:49,121 - __main__ - INFO - Starting Task: Standard Training
2026-02-07 10:38:49,123 - training.engines.hybrid - INFO - HybridEngine using device: cpu
2026-02-07 10:38:49,124 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-07 10:38:49,125 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-07 10:38:49,137 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-07 10:38:49,139 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-07 10:38:49,145 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-07 10:42:16,623 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.0206 | Acc: 0.4640 | Grad: 8.58e-01 | Val Loss: 0.9786 | Val Acc: 0.5100 | LR: 5.00e-02
2026-02-07 10:45:47,424 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 0.9873 | Acc: 0.5030 | Grad: 8.55e-01 | Val Loss: 0.9384 | Val Acc: 0.5500 | LR: 5.00e-02
2026-02-07 10:49:13,813 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 0.9464 | Acc: 0.5180 | Grad: 7.54e-01 | Val Loss: 0.9040 | Val Acc: 0.5700 | LR: 5.00e-02
2026-02-07 10:52:45,615 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 0.9116 | Acc: 0.5300 | Grad: 6.96e-01 | Val Loss: 0.8809 | Val Acc: 0.5650 | LR: 5.00e-02
2026-02-07 10:56:12,260 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.8854 | Acc: 0.5530 | Grad: 8.17e-01 | Val Loss: 0.8573 | Val Acc: 0.5900 | LR: 5.00e-02
2026-02-07 10:59:42,536 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.8609 | Acc: 0.5800 | Grad: 8.32e-01 | Val Loss: 0.8320 | Val Acc: 0.6350 | LR: 5.00e-02
2026-02-07 11:03:12,170 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.8363 | Acc: 0.6190 | Grad: 8.99e-01 | Val Loss: 0.8166 | Val Acc: 0.6750 | LR: 5.00e-02
2026-02-07 11:06:39,296 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.8115 | Acc: 0.6510 | Grad: 8.79e-01 | Val Loss: 0.7941 | Val Acc: 0.7000 | LR: 5.00e-02
2026-02-07 11:10:00,949 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.7896 | Acc: 0.6890 | Grad: 9.24e-01 | Val Loss: 0.7781 | Val Acc: 0.7100 | LR: 5.00e-02
2026-02-07 11:13:23,846 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.7676 | Acc: 0.7320 | Grad: 1.06e+00 | Val Loss: 0.7636 | Val Acc: 0.7050 | LR: 5.00e-02
2026-02-07 11:17:14,563 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.7477 | Acc: 0.7450 | Grad: 9.70e-01 | Val Loss: 0.7450 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-07 11:20:29,703 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.7323 | Acc: 0.7560 | Grad: 1.13e+00 | Val Loss: 0.7335 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-07 11:23:54,877 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.7142 | Acc: 0.7700 | Grad: 1.06e+00 | Val Loss: 0.7196 | Val Acc: 0.7550 | LR: 5.00e-02
2026-02-07 11:27:22,530 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.7003 | Acc: 0.7870 | Grad: 9.93e-01 | Val Loss: 0.7084 | Val Acc: 0.7650 | LR: 5.00e-02
2026-02-07 11:30:46,731 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.6871 | Acc: 0.7920 | Grad: 1.09e+00 | Val Loss: 0.6980 | Val Acc: 0.7750 | LR: 5.00e-02
2026-02-07 11:34:15,630 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.6745 | Acc: 0.7980 | Grad: 1.07e+00 | Val Loss: 0.6864 | Val Acc: 0.7900 | LR: 5.00e-02
2026-02-07 11:37:41,914 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.6639 | Acc: 0.8100 | Grad: 1.27e+00 | Val Loss: 0.6756 | Val Acc: 0.7950 | LR: 5.00e-02
2026-02-07 11:41:09,410 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 0.6507 | Acc: 0.8170 | Grad: 1.12e+00 | Val Loss: 0.6638 | Val Acc: 0.8050 | LR: 5.00e-02
2026-02-07 11:44:38,280 - training.engines.hybrid - INFO - Epoch 19/100, Loss: 0.6391 | Acc: 0.8270 | Grad: 1.03e+00 | Val Loss: 0.6500 | Val Acc: 0.8150 | LR: 5.00e-02
2026-02-07 11:47:59,509 - training.engines.hybrid - INFO - Epoch 20/100, Loss: 0.6286 | Acc: 0.8340 | Grad: 1.00e+00 | Val Loss: 0.6426 | Val Acc: 0.8350 | LR: 5.00e-02
2026-02-07 11:51:19,110 - training.engines.hybrid - INFO - Epoch 21/100, Loss: 0.6190 | Acc: 0.8450 | Grad: 1.10e+00 | Val Loss: 0.6364 | Val Acc: 0.8300 | LR: 5.00e-02
2026-02-07 11:54:42,096 - training.engines.hybrid - INFO - Epoch 22/100, Loss: 0.6104 | Acc: 0.8570 | Grad: 9.33e-01 | Val Loss: 0.6243 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 11:58:06,043 - training.engines.hybrid - INFO - Epoch 23/100, Loss: 0.6008 | Acc: 0.8670 | Grad: 9.48e-01 | Val Loss: 0.6140 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 12:01:37,458 - training.engines.hybrid - INFO - Epoch 24/100, Loss: 0.5927 | Acc: 0.8700 | Grad: 9.77e-01 | Val Loss: 0.6075 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 12:05:00,539 - training.engines.hybrid - INFO - Epoch 25/100, Loss: 0.5847 | Acc: 0.8760 | Grad: 9.83e-01 | Val Loss: 0.5962 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 12:08:31,323 - training.engines.hybrid - INFO - Epoch 26/100, Loss: 0.5729 | Acc: 0.8760 | Grad: 8.99e-01 | Val Loss: 0.5849 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 12:11:56,830 - training.engines.hybrid - INFO - Epoch 27/100, Loss: 0.5642 | Acc: 0.8830 | Grad: 8.08e-01 | Val Loss: 0.5820 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 12:15:15,911 - training.engines.hybrid - INFO - Epoch 28/100, Loss: 0.5552 | Acc: 0.8850 | Grad: 1.01e+00 | Val Loss: 0.5723 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 12:18:41,189 - training.engines.hybrid - INFO - Epoch 29/100, Loss: 0.5488 | Acc: 0.8950 | Grad: 8.95e-01 | Val Loss: 0.5654 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 12:22:05,944 - training.engines.hybrid - INFO - Epoch 30/100, Loss: 0.5436 | Acc: 0.9000 | Grad: 9.81e-01 | Val Loss: 0.5664 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 12:25:27,088 - training.engines.hybrid - INFO - Epoch 31/100, Loss: 0.5400 | Acc: 0.8930 | Grad: 8.86e-01 | Val Loss: 0.5580 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 12:28:56,267 - training.engines.hybrid - INFO - Epoch 32/100, Loss: 0.5346 | Acc: 0.8940 | Grad: 1.01e+00 | Val Loss: 0.5540 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 12:32:16,291 - training.engines.hybrid - INFO - Epoch 33/100, Loss: 0.5293 | Acc: 0.8970 | Grad: 8.68e-01 | Val Loss: 0.5535 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 12:35:44,511 - training.engines.hybrid - INFO - Epoch 34/100, Loss: 0.5247 | Acc: 0.8950 | Grad: 9.07e-01 | Val Loss: 0.5470 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 12:39:16,246 - training.engines.hybrid - INFO - Epoch 35/100, Loss: 0.5215 | Acc: 0.8970 | Grad: 1.05e+00 | Val Loss: 0.5441 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 12:42:32,222 - training.engines.hybrid - INFO - Epoch 36/100, Loss: 0.5153 | Acc: 0.8970 | Grad: 9.95e-01 | Val Loss: 0.5374 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 12:45:49,441 - training.engines.hybrid - INFO - Epoch 37/100, Loss: 0.5092 | Acc: 0.8990 | Grad: 9.41e-01 | Val Loss: 0.5375 | Val Acc: 0.8500 | LR: 5.00e-02
2026-02-07 12:49:14,795 - training.engines.hybrid - INFO - Epoch 38/100, Loss: 0.5047 | Acc: 0.8970 | Grad: 9.87e-01 | Val Loss: 0.5348 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 12:52:37,558 - training.engines.hybrid - INFO - Epoch 39/100, Loss: 0.5026 | Acc: 0.8970 | Grad: 1.13e+00 | Val Loss: 0.5289 | Val Acc: 0.8500 | LR: 5.00e-02
2026-02-07 12:56:01,608 - training.engines.hybrid - INFO - Epoch 40/100, Loss: 0.4976 | Acc: 0.8970 | Grad: 1.00e+00 | Val Loss: 0.5299 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 12:59:24,040 - training.engines.hybrid - INFO - Epoch 41/100, Loss: 0.4939 | Acc: 0.8980 | Grad: 9.24e-01 | Val Loss: 0.5236 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 13:02:48,030 - training.engines.hybrid - INFO - Epoch 42/100, Loss: 0.4912 | Acc: 0.8970 | Grad: 1.06e+00 | Val Loss: 0.5244 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 13:06:13,290 - training.engines.hybrid - INFO - Epoch 43/100, Loss: 0.4912 | Acc: 0.8960 | Grad: 1.05e+00 | Val Loss: 0.5235 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 13:09:37,179 - training.engines.hybrid - INFO - Epoch 44/100, Loss: 0.4924 | Acc: 0.9000 | Grad: 1.00e+00 | Val Loss: 0.5248 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 13:13:01,813 - training.engines.hybrid - INFO - Epoch 45/100, Loss: 0.4920 | Acc: 0.9000 | Grad: 1.10e+00 | Val Loss: 0.5236 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 13:16:28,372 - training.engines.hybrid - INFO - Epoch 46/100, Loss: 0.4919 | Acc: 0.9010 | Grad: 9.23e-01 | Val Loss: 0.5231 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:19:50,195 - training.engines.hybrid - INFO - Epoch 47/100, Loss: 0.4913 | Acc: 0.9000 | Grad: 1.08e+00 | Val Loss: 0.5257 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:23:14,783 - training.engines.hybrid - INFO - Epoch 48/100, Loss: 0.4908 | Acc: 0.9000 | Grad: 9.15e-01 | Val Loss: 0.5241 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:26:41,733 - training.engines.hybrid - INFO - Epoch 49/100, Loss: 0.4888 | Acc: 0.9060 | Grad: 1.13e+00 | Val Loss: 0.5230 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 13:30:23,487 - training.engines.hybrid - INFO - Epoch 50/100, Loss: 0.4869 | Acc: 0.9050 | Grad: 1.06e+00 | Val Loss: 0.5205 | Val Acc: 0.8550 | LR: 5.00e-02
2026-02-07 13:33:42,941 - training.engines.hybrid - INFO - Epoch 51/100, Loss: 0.4828 | Acc: 0.9040 | Grad: 9.79e-01 | Val Loss: 0.5130 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:37:09,179 - training.engines.hybrid - INFO - Epoch 52/100, Loss: 0.4796 | Acc: 0.9050 | Grad: 9.29e-01 | Val Loss: 0.5107 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 13:40:39,789 - training.engines.hybrid - INFO - Epoch 53/100, Loss: 0.4749 | Acc: 0.9050 | Grad: 1.04e+00 | Val Loss: 0.5080 | Val Acc: 0.8650 | LR: 5.00e-02
2026-02-07 13:44:03,215 - training.engines.hybrid - INFO - Epoch 54/100, Loss: 0.4756 | Acc: 0.9060 | Grad: 9.49e-01 | Val Loss: 0.5076 | Val Acc: 0.8750 | LR: 5.00e-02
2026-02-07 13:47:31,761 - training.engines.hybrid - INFO - Epoch 55/100, Loss: 0.4743 | Acc: 0.9070 | Grad: 9.68e-01 | Val Loss: 0.5049 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:50:53,535 - training.engines.hybrid - INFO - Epoch 56/100, Loss: 0.4738 | Acc: 0.9080 | Grad: 9.69e-01 | Val Loss: 0.5009 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-07 13:54:19,759 - training.engines.hybrid - INFO - Epoch 57/100, Loss: 0.4718 | Acc: 0.9080 | Grad: 9.57e-01 | Val Loss: 0.5015 | Val Acc: 0.8700 | LR: 5.00e-02
2026-02-07 13:57:46,653 - training.engines.hybrid - INFO - Epoch 58/100, Loss: 0.4727 | Acc: 0.9110 | Grad: 9.38e-01 | Val Loss: 0.4946 | Val Acc: 0.8750 | LR: 5.00e-02
2026-02-07 14:01:07,997 - training.engines.hybrid - INFO - Epoch 59/100, Loss: 0.4690 | Acc: 0.9120 | Grad: 1.02e+00 | Val Loss: 0.4961 | Val Acc: 0.8750 | LR: 5.00e-02
2026-02-07 14:04:27,471 - training.engines.hybrid - INFO - Epoch 60/100, Loss: 0.4677 | Acc: 0.9160 | Grad: 1.08e+00 | Val Loss: 0.4927 | Val Acc: 0.8850 | LR: 5.00e-02
2026-02-07 14:07:55,236 - training.engines.hybrid - INFO - Epoch 61/100, Loss: 0.4638 | Acc: 0.9160 | Grad: 9.09e-01 | Val Loss: 0.4901 | Val Acc: 0.8750 | LR: 5.00e-02
2026-02-07 14:11:23,701 - training.engines.hybrid - INFO - Epoch 62/100, Loss: 0.4586 | Acc: 0.9170 | Grad: 8.44e-01 | Val Loss: 0.4855 | Val Acc: 0.9000 | LR: 5.00e-02
2026-02-07 14:14:52,107 - training.engines.hybrid - INFO - Epoch 63/100, Loss: 0.4567 | Acc: 0.9190 | Grad: 1.10e+00 | Val Loss: 0.4845 | Val Acc: 0.9050 | LR: 5.00e-02
2026-02-07 14:18:18,085 - training.engines.hybrid - INFO - Epoch 64/100, Loss: 0.4526 | Acc: 0.9210 | Grad: 9.72e-01 | Val Loss: 0.4851 | Val Acc: 0.9100 | LR: 5.00e-02
2026-02-07 14:21:41,260 - training.engines.hybrid - INFO - Epoch 65/100, Loss: 0.4529 | Acc: 0.9190 | Grad: 9.85e-01 | Val Loss: 0.4838 | Val Acc: 0.9100 | LR: 5.00e-02
