2026-02-12 13:08:21,427 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
experiment_name: null
dataset_name: fashionmnist
data_path: ./data
n_train: 1000
n_test: 200
n_val: 200
digits:
- 0
- 2
- 4
- 6
target_dim: 16
preprocessors:
- autoencoder_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 7
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
output_dir: ./output
resume_dir: null
notifications:
  enabled: true
  title: binary class experiment [0, 2, 4, 6]
binary_groups:
- - 6
- - 0
  - 2
  - 4

2026-02-12 13:08:21,427 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-12 13:08:21,435 - data.dataset.fashion_mnist_dataset - INFO - Using binary groups: [[6], [0, 2, 4]]
2026-02-12 13:08:21,436 - data.dataset.fashion_mnist_dataset - INFO - Subsampled group 1 from 18000 to 6000 to match group 0
2026-02-12 13:08:21,439 - data.dataset.fashion_mnist_dataset - INFO - Loaded 12000 samples with binary groups.
2026-02-12 13:08:21,459 - data.preprocessor.autoencoder - INFO - Loading pre-trained Autoencoder from: /Users/xunflowerrr/Main/Work/GithubRepository/QCNN_project/src/data/preprocessor/autoencoders/conv_ae_fashionmnist_16.pth
2026-02-12 13:08:21,616 - __main__ - INFO - Starting Task: Standard Training
2026-02-12 13:08:21,616 - __main__ - INFO - Using Hybrid Engine for Training
2026-02-12 13:08:21,616 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-12 13:08:21,616 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-12 13:08:21,616 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-12 13:08:21,618 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-12 13:08:21,619 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-12 13:08:21,623 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-12 13:08:21,623 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-12 13:08:21,624 - training.engines.hybrid - INFO - HybridEngine: No checkpoint found at ./output/train_angle_autoencoder16_20260212_130821/checkpoints/train_angle_autoencoder16_20260212_130821_checkpoint.pth.tar. Starting fresh.
2026-02-12 13:08:40,855 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.0468 | Acc: 0.5210 | Grad: 1.35e+00 | Val Loss: 1.0028 | Val Acc: 0.5600 | LR: 5.00e-02
2026-02-12 13:09:00,149 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.0488 | Acc: 0.5530 | Grad: 1.44e+00 | Val Loss: 1.0066 | Val Acc: 0.5550 | LR: 5.00e-02
2026-02-12 13:09:19,692 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.0424 | Acc: 0.5550 | Grad: 1.15e+00 | Val Loss: 1.0046 | Val Acc: 0.5450 | LR: 5.00e-02
2026-02-12 13:09:39,443 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0416 | Acc: 0.5500 | Grad: 1.27e+00 | Val Loss: 1.0105 | Val Acc: 0.5500 | LR: 5.00e-02
2026-02-12 13:09:59,389 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 1.0399 | Acc: 0.5490 | Grad: 1.19e+00 | Val Loss: 1.0094 | Val Acc: 0.5500 | LR: 5.00e-02
2026-02-12 13:10:19,578 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 1.0392 | Acc: 0.5510 | Grad: 1.01e+00 | Val Loss: 1.0085 | Val Acc: 0.5550 | LR: 5.00e-02
2026-02-12 13:10:40,537 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 1.0380 | Acc: 0.5460 | Grad: 1.27e+00 | Val Loss: 1.0132 | Val Acc: 0.5350 | LR: 5.00e-02
2026-02-12 13:11:00,913 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 1.0356 | Acc: 0.5420 | Grad: 1.08e+00 | Val Loss: 1.0101 | Val Acc: 0.5250 | LR: 5.00e-02
2026-02-12 13:11:21,622 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 1.0331 | Acc: 0.5360 | Grad: 1.03e+00 | Val Loss: 1.0050 | Val Acc: 0.5350 | LR: 2.50e-02
2026-02-12 13:11:42,471 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 1.0292 | Acc: 0.5400 | Grad: 1.07e+00 | Val Loss: 1.0056 | Val Acc: 0.5350 | LR: 2.50e-02
2026-02-12 13:12:04,510 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 1.0250 | Acc: 0.5420 | Grad: 9.11e-01 | Val Loss: 1.0025 | Val Acc: 0.5400 | LR: 2.50e-02
2026-02-12 13:12:27,141 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 1.0231 | Acc: 0.5410 | Grad: 1.00e+00 | Val Loss: 1.0014 | Val Acc: 0.5450 | LR: 2.50e-02
2026-02-12 13:12:49,784 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 1.0202 | Acc: 0.5450 | Grad: 9.11e-01 | Val Loss: 0.9994 | Val Acc: 0.5450 | LR: 2.50e-02
2026-02-12 13:13:12,155 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 1.0166 | Acc: 0.5410 | Grad: 9.13e-01 | Val Loss: 0.9936 | Val Acc: 0.5600 | LR: 2.50e-02
2026-02-12 13:13:34,315 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 1.0134 | Acc: 0.5430 | Grad: 9.21e-01 | Val Loss: 0.9888 | Val Acc: 0.5700 | LR: 2.50e-02
2026-02-12 13:13:57,269 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 1.0092 | Acc: 0.5560 | Grad: 9.29e-01 | Val Loss: 0.9862 | Val Acc: 0.5550 | LR: 2.50e-02
2026-02-12 13:14:19,247 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 1.0065 | Acc: 0.5480 | Grad: 8.51e-01 | Val Loss: 0.9826 | Val Acc: 0.5500 | LR: 2.50e-02
2026-02-12 13:14:41,157 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 1.0033 | Acc: 0.5650 | Grad: 8.41e-01 | Val Loss: 0.9809 | Val Acc: 0.5750 | LR: 2.50e-02
2026-02-12 13:15:02,945 - training.engines.hybrid - INFO - Epoch 19/100, Loss: 0.9995 | Acc: 0.5650 | Grad: 8.41e-01 | Val Loss: 0.9788 | Val Acc: 0.5650 | LR: 2.50e-02
2026-02-12 13:15:24,846 - training.engines.hybrid - INFO - Epoch 20/100, Loss: 0.9970 | Acc: 0.5660 | Grad: 8.46e-01 | Val Loss: 0.9817 | Val Acc: 0.5850 | LR: 2.50e-02
