2026-02-03 20:28:16,893 - __main__ - INFO - Initializing experiment with configuration:
task_name: train
model_type: standard
dataset_name: fashionmnist
data_path: ./data
n_train: 200
n_test: 50
n_val: 50
digits:
- 0
- 2
target_dim: 16
preprocessors:
- pca_16
n_pop: 20
n_gen: 10
n_gates: 200
mutation_rate: 0.1
engine_type: hybrid
train_epochs: 100
train_lr: 0.05
gradient_method: spsa
device: null
use_v2_primitives: true
use_scheduler: true
scheduler_patience: 3
scheduler_factor: 0.5
strategy_type: hybrid
eval_epochs: 5
eval_lr: 0.01
eval_max_iter: 50
feature_map_type: angle
num_qubits: 16
verbose: true
seed: 42
save_dir: ./output
notifications:
  enabled: true
  title: QCNN Training

2026-02-03 20:28:16,893 - data.dataset.fashion_mnist_dataset - INFO - Loading FashionMNIST data from ./data
2026-02-03 20:28:16,932 - __main__ - INFO - Starting Task: Standard Training
2026-02-03 20:28:16,943 - training.engines.hybrid - INFO - HybridEngine using device: mps
2026-02-03 20:28:16,943 - training.engines.hybrid - INFO - HybridEngine: Using gradient method: spsa
2026-02-03 20:28:16,944 - training.pipeline - INFO - Executing Production Pipeline for model: StandardQCNN
2026-02-03 20:28:16,946 - training.pipeline - INFO - Circuit built. Num Qubits: 16, Num Params: 123
2026-02-03 20:28:16,946 - training.engines.hybrid - INFO - HybridEngine: Optimizing 123 parameters.
2026-02-03 20:28:16,973 - training.engines.hybrid - INFO - HybridEngine: Initialized weights with uniform distribution [-0.5, 0.5]
2026-02-03 20:28:16,973 - training.engines.hybrid - WARNING - Using MPS (Metal Performance Shaders). If gradients are zero, try 'engine.device=cpu'.
2026-02-03 20:28:21,088 - training.engines.hybrid - INFO - Epoch 1/100, Loss: 1.4285 | Acc: 0.4450 | Grad: 1.99e+00 | Val Loss: 1.5036 | Val Acc: 0.4200 | LR: 5.00e-02
2026-02-03 20:28:25,004 - training.engines.hybrid - INFO - Epoch 2/100, Loss: 1.3238 | Acc: 0.4650 | Grad: 2.17e+00 | Val Loss: 1.3459 | Val Acc: 0.4200 | LR: 5.00e-02
2026-02-03 20:28:28,871 - training.engines.hybrid - INFO - Epoch 3/100, Loss: 1.1839 | Acc: 0.5100 | Grad: 2.16e+00 | Val Loss: 1.2152 | Val Acc: 0.4400 | LR: 5.00e-02
2026-02-03 20:28:32,847 - training.engines.hybrid - INFO - Epoch 4/100, Loss: 1.0636 | Acc: 0.5350 | Grad: 2.44e+00 | Val Loss: 1.1023 | Val Acc: 0.4600 | LR: 5.00e-02
2026-02-03 20:28:36,946 - training.engines.hybrid - INFO - Epoch 5/100, Loss: 0.9616 | Acc: 0.6150 | Grad: 1.46e+00 | Val Loss: 0.9927 | Val Acc: 0.5400 | LR: 5.00e-02
2026-02-03 20:28:41,066 - training.engines.hybrid - INFO - Epoch 6/100, Loss: 0.8848 | Acc: 0.6850 | Grad: 1.35e+00 | Val Loss: 0.9215 | Val Acc: 0.6400 | LR: 5.00e-02
2026-02-03 20:28:45,236 - training.engines.hybrid - INFO - Epoch 7/100, Loss: 0.8302 | Acc: 0.7250 | Grad: 1.28e+00 | Val Loss: 0.8722 | Val Acc: 0.6600 | LR: 5.00e-02
2026-02-03 20:28:49,326 - training.engines.hybrid - INFO - Epoch 8/100, Loss: 0.7962 | Acc: 0.7750 | Grad: 1.31e+00 | Val Loss: 0.8388 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-03 20:28:53,552 - training.engines.hybrid - INFO - Epoch 9/100, Loss: 0.7657 | Acc: 0.7900 | Grad: 1.12e+00 | Val Loss: 0.7945 | Val Acc: 0.6800 | LR: 5.00e-02
2026-02-03 20:28:57,841 - training.engines.hybrid - INFO - Epoch 10/100, Loss: 0.7517 | Acc: 0.8000 | Grad: 1.51e+00 | Val Loss: 0.7686 | Val Acc: 0.7000 | LR: 5.00e-02
2026-02-03 20:29:01,870 - training.engines.hybrid - INFO - Epoch 11/100, Loss: 0.7273 | Acc: 0.8050 | Grad: 1.35e+00 | Val Loss: 0.7453 | Val Acc: 0.7400 | LR: 5.00e-02
2026-02-03 20:29:05,950 - training.engines.hybrid - INFO - Epoch 12/100, Loss: 0.7078 | Acc: 0.8150 | Grad: 1.46e+00 | Val Loss: 0.7114 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 20:29:10,020 - training.engines.hybrid - INFO - Epoch 13/100, Loss: 0.6837 | Acc: 0.8150 | Grad: 1.27e+00 | Val Loss: 0.6909 | Val Acc: 0.7600 | LR: 5.00e-02
2026-02-03 20:29:14,216 - training.engines.hybrid - INFO - Epoch 14/100, Loss: 0.6596 | Acc: 0.8150 | Grad: 1.30e+00 | Val Loss: 0.6644 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:18,327 - training.engines.hybrid - INFO - Epoch 15/100, Loss: 0.6376 | Acc: 0.8200 | Grad: 1.47e+00 | Val Loss: 0.6431 | Val Acc: 0.8000 | LR: 5.00e-02
2026-02-03 20:29:22,398 - training.engines.hybrid - INFO - Epoch 16/100, Loss: 0.6161 | Acc: 0.8200 | Grad: 1.58e+00 | Val Loss: 0.6259 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:26,475 - training.engines.hybrid - INFO - Epoch 17/100, Loss: 0.5965 | Acc: 0.8250 | Grad: 1.37e+00 | Val Loss: 0.6131 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:30,622 - training.engines.hybrid - INFO - Epoch 18/100, Loss: 0.5826 | Acc: 0.8250 | Grad: 1.42e+00 | Val Loss: 0.6017 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:34,729 - training.engines.hybrid - INFO - Epoch 19/100, Loss: 0.5655 | Acc: 0.8250 | Grad: 1.54e+00 | Val Loss: 0.5886 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:38,855 - training.engines.hybrid - INFO - Epoch 20/100, Loss: 0.5497 | Acc: 0.8300 | Grad: 1.57e+00 | Val Loss: 0.5729 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:43,049 - training.engines.hybrid - INFO - Epoch 21/100, Loss: 0.5414 | Acc: 0.8250 | Grad: 1.33e+00 | Val Loss: 0.5742 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:47,160 - training.engines.hybrid - INFO - Epoch 22/100, Loss: 0.5300 | Acc: 0.8350 | Grad: 1.32e+00 | Val Loss: 0.5668 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:51,285 - training.engines.hybrid - INFO - Epoch 23/100, Loss: 0.5234 | Acc: 0.8300 | Grad: 1.33e+00 | Val Loss: 0.5698 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:55,422 - training.engines.hybrid - INFO - Epoch 24/100, Loss: 0.5206 | Acc: 0.8300 | Grad: 1.30e+00 | Val Loss: 0.5652 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:29:59,617 - training.engines.hybrid - INFO - Epoch 25/100, Loss: 0.5158 | Acc: 0.8300 | Grad: 1.53e+00 | Val Loss: 0.5584 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:30:03,810 - training.engines.hybrid - INFO - Epoch 26/100, Loss: 0.5113 | Acc: 0.8350 | Grad: 1.65e+00 | Val Loss: 0.5516 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:30:08,035 - training.engines.hybrid - INFO - Epoch 27/100, Loss: 0.5066 | Acc: 0.8400 | Grad: 1.39e+00 | Val Loss: 0.5430 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:30:12,291 - training.engines.hybrid - INFO - Epoch 28/100, Loss: 0.5024 | Acc: 0.8400 | Grad: 1.41e+00 | Val Loss: 0.5469 | Val Acc: 0.7800 | LR: 5.00e-02
2026-02-03 20:30:16,477 - training.engines.hybrid - INFO - Epoch 29/100, Loss: 0.4985 | Acc: 0.8400 | Grad: 1.50e+00 | Val Loss: 0.5348 | Val Acc: 0.8000 | LR: 5.00e-02
2026-02-03 20:30:20,677 - training.engines.hybrid - INFO - Epoch 30/100, Loss: 0.4953 | Acc: 0.8450 | Grad: 1.29e+00 | Val Loss: 0.5313 | Val Acc: 0.8000 | LR: 5.00e-02
2026-02-03 20:30:24,871 - training.engines.hybrid - INFO - Epoch 31/100, Loss: 0.4924 | Acc: 0.8500 | Grad: 1.31e+00 | Val Loss: 0.5264 | Val Acc: 0.8200 | LR: 5.00e-02
2026-02-03 20:30:29,143 - training.engines.hybrid - INFO - Epoch 32/100, Loss: 0.4953 | Acc: 0.8450 | Grad: 1.11e+00 | Val Loss: 0.5326 | Val Acc: 0.8200 | LR: 5.00e-02
2026-02-03 20:30:33,388 - training.engines.hybrid - INFO - Epoch 33/100, Loss: 0.4913 | Acc: 0.8550 | Grad: 1.32e+00 | Val Loss: 0.5223 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:30:37,632 - training.engines.hybrid - INFO - Epoch 34/100, Loss: 0.4915 | Acc: 0.8550 | Grad: 1.25e+00 | Val Loss: 0.5229 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:30:41,880 - training.engines.hybrid - INFO - Epoch 35/100, Loss: 0.4894 | Acc: 0.8550 | Grad: 1.51e+00 | Val Loss: 0.5184 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:30:46,135 - training.engines.hybrid - INFO - Epoch 36/100, Loss: 0.4887 | Acc: 0.8650 | Grad: 1.41e+00 | Val Loss: 0.5186 | Val Acc: 0.8200 | LR: 5.00e-02
2026-02-03 20:30:50,452 - training.engines.hybrid - INFO - Epoch 37/100, Loss: 0.4848 | Acc: 0.8600 | Grad: 1.30e+00 | Val Loss: 0.5172 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:30:54,743 - training.engines.hybrid - INFO - Epoch 38/100, Loss: 0.4841 | Acc: 0.8650 | Grad: 1.68e+00 | Val Loss: 0.5146 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-03 20:30:59,114 - training.engines.hybrid - INFO - Epoch 39/100, Loss: 0.4823 | Acc: 0.8650 | Grad: 1.38e+00 | Val Loss: 0.5077 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:03,469 - training.engines.hybrid - INFO - Epoch 40/100, Loss: 0.4794 | Acc: 0.8650 | Grad: 1.61e+00 | Val Loss: 0.5013 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:07,826 - training.engines.hybrid - INFO - Epoch 41/100, Loss: 0.4774 | Acc: 0.8700 | Grad: 1.12e+00 | Val Loss: 0.4979 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-03 20:31:12,303 - training.engines.hybrid - INFO - Epoch 42/100, Loss: 0.4748 | Acc: 0.8650 | Grad: 1.20e+00 | Val Loss: 0.4967 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:16,988 - training.engines.hybrid - INFO - Epoch 43/100, Loss: 0.4733 | Acc: 0.8650 | Grad: 1.28e+00 | Val Loss: 0.4992 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:21,558 - training.engines.hybrid - INFO - Epoch 44/100, Loss: 0.4689 | Acc: 0.8650 | Grad: 1.29e+00 | Val Loss: 0.4908 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:26,472 - training.engines.hybrid - INFO - Epoch 45/100, Loss: 0.4673 | Acc: 0.8650 | Grad: 1.54e+00 | Val Loss: 0.4932 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:32,242 - training.engines.hybrid - INFO - Epoch 46/100, Loss: 0.4609 | Acc: 0.8600 | Grad: 1.16e+00 | Val Loss: 0.4870 | Val Acc: 0.8200 | LR: 5.00e-02
2026-02-03 20:31:37,630 - training.engines.hybrid - INFO - Epoch 47/100, Loss: 0.4584 | Acc: 0.8650 | Grad: 1.49e+00 | Val Loss: 0.4796 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-03 20:31:42,534 - training.engines.hybrid - INFO - Epoch 48/100, Loss: 0.4541 | Acc: 0.8650 | Grad: 1.53e+00 | Val Loss: 0.4774 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:47,391 - training.engines.hybrid - INFO - Epoch 49/100, Loss: 0.4505 | Acc: 0.8650 | Grad: 1.53e+00 | Val Loss: 0.4785 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:52,363 - training.engines.hybrid - INFO - Epoch 50/100, Loss: 0.4496 | Acc: 0.8700 | Grad: 1.48e+00 | Val Loss: 0.4652 | Val Acc: 0.8400 | LR: 5.00e-02
2026-02-03 20:31:57,117 - training.engines.hybrid - INFO - Epoch 51/100, Loss: 0.4446 | Acc: 0.8700 | Grad: 1.34e+00 | Val Loss: 0.4607 | Val Acc: 0.8600 | LR: 5.00e-02
2026-02-03 20:32:02,005 - training.engines.hybrid - INFO - Epoch 52/100, Loss: 0.4402 | Acc: 0.8700 | Grad: 1.36e+00 | Val Loss: 0.4514 | Val Acc: 0.8600 | LR: 5.00e-02
